"",2012,2013 2014,2015,,2016
"Всего,",,человек,,,
"мужчины",6466,6778 7127,7109,,7531
"женщины",7316,7407 7674,7901,,8014
"в том числе в возрасте, лет:",,,,,
0-14,,,,,
"мужчины",46,38 51,46,,51
"женщины",28,25 35,40,,39
15-19,,,,,
"мужчины",18,19 8,18,,13
"женщины",15,14 16,12,,14
20-39,,,,,
"мужчины",201,218 200,195,,171
"женщины",420,455 406,475,,448
40-59,,,,,
"мужчины",1859,1876 1871,1823,,1910
"женщины",2298,2303 2395,2300,,2316
60 и старше,,,,,
"мужчины",4342,4627 4997,5027,,5386
"женщины",4555,4610 4822,5074,,5197
"",,На 100000 человек населения,,,
"мужчины","366,9","382,7 400,6","398,0",,"419,8"
"женщины","356,8","359,7 371,2","380,7",,"384,7"
"в том числе в возрасте, лет:",,,,,
0-14,,,,,
"мужчины","14,6","11,7 15,2","13,3",,"14,3"
"женщины","9,4","8,1 11,0","12,2",,"11,6"
15-19,,,,,
"мужчины","16,9","18,6 8,2","19,0",,"14,0"
"женщины","14,2","14,0 16,7","12,9",,"15,3"
20-39,,,,,
"мужчины","34,0","37,0 34,1","33,5",,"29,7"
"женщины","69,3","75,2 67,6","79,9",,"76,4"
40-59,,,,,
"мужчины","365,9","370,6 371,6","364,6",,"384,1"
"женщины","388,7","391,4 410,2","397,6",,"403,5"
60 и старше,,,,,
"мужчины","1800,5","1870,4 1962,7","1911,5",,"1984,8"
"женщины","1016,0","1006,9 1028,3","1053,7",,"1052,7"
