"",2012 2013,2014,2015,2016
"","Взято под наблюдение пациентов с диагнозом, установленным",,,
"",,впервые в жизни,,
"алкоголизм и алкогольные психозы",,,,
"всего",2695 2417,2593,2334,2106
"на 100000 человек населения","70,7 63,1","67,4","60,4","54,3"
"наркомания и токсикомания",,,,
"всего",300 275,296,377,378
"на 100000 человек населения","7,9 7,2","7,7","9,8","9,7"
"","Численность пациентов, состоящих на учете в лечебно-",,,
"","профилактических организациях, с диагнозом",,,
"алкоголизм и алкогольные психозы",,,,
"всего",33811 32604,31390,30500,30566
"на 100000 человек населения","884,6 849,5","814,3","788,4","786,7"
"наркомания и токсикомания",,,,
"всего",9954 9920,9852,9751,9557
"на 100000 человек населения","260,4 258,5","255,6","252,0","246,0"
