"",2012,2013 2014,2015,,2016
"",,Тыс. человек,,,
"Всего","3222,4","3185,0 3235,2","3105,6",,"3071,6"
"в том числе:",,,,,
"некоторые инфекционные",,,,,
"и паразитарные болезни","136,7","128,1 120,0","104,1",,"112,6"
"новообразования","38,8","40,5 40,7","41,5",,"39,0"
"болезни крови, кроветворных органов и",,,,,
"отдельные нарушения, вовлекающие",,,,,
"иммунный механизм","27,7","27,1 26,6","28,7",,"28,0"
"болезни эндокринной системы,",,,,,
"расстройства питания и нарушения обмена",,,,,
"веществ","32,3","32,9 37,3","42,1",,"51,7"
"болезни нервной системы","64,0","67,8 61,8","61,8",,"58,6"
"болезни глаза и его придаточного аппарата","115,6","114,0 109,0","102,4",,"99,4"
"болезни уха и сосцевидного отростка","106,7","100,9 102,6","87,6",,"87,5"
"болезни системы кровообращения","109,5","125,3 116,6","126,7",,"119,1"
"болезни органов дыхания","1297,6","1294,4 1366,2","1335,5",,"1358,9"
"болезни органов пищеварения","128,6","127,6 136,9","128,6",,"116,8"
"болезни кожи и подкожной клетчатки","200,6","189,6 185,6","184,8",,"173,2"
"болезни костно-мышечной системы и",,,,,
"соединительной ткани","165,8","156,8 156,1","144,5",,"138,2"
"болезни мочеполовой системы","185,2","181,7 185,2","166,4",,"154,7"
"осложнения беременности, родов и",,,,,
"послеродового периода","100,3","101,0 89,5","85,1",,"80,9"
"врожденные аномалии (пороки развития),",,,,,
"деформации и хромосомные нарушения","7,9","6,2 6,1","6,3",,"6,0"
"травмы, отравления и некоторые другие",,,,,
"последствия воздействия внешних причин","393,1","390,2 403,7","414,7",,"399,4"
"",,На 100000 человек населения,,,
"Всего","84519,4","83156,6 84105,8","80416,1",,"79225,7"
"в том числе:",,,,,
"некоторые инфекционные",,,,,
"и паразитарные болезни","3586,0","3344,2 3120,3","2696,1",,"2903,9"
"новообразования","1018,7","1056,8 1057,8","1073,8",,"1005,9"
"болезни крови, кроветворных органов и",,,,,
"отдельные нарушения, вовлекающие",,,,,
"иммунный механизм","726,2","708,7 691,4","744,0",,"721,7"
"болезни эндокринной системы, расстройства",,,,,
"питания и нарушения обмена веществ","846,0","859,7 969,6","1089,5",,"1332,7"
"болезни нервной системы","1678,5","1769,4 1606,8","1600,8",,"1511,2"
"болезни глаза и его придаточного аппарата","3032,6","2976,2 2834,8","2651,4",,"2564,6"
"болезни уха и сосцевидного отростка","2798,7","2633,5 2666,5","2267,9",,"2257,4"
"болезни системы кровообращения","2873,1","3271,6 3030,9","3282,0",,"3072,2"
"болезни органов дыхания","34033,9","33795,4 35516,4","34582,7",,"35051,3"
"болезни органов пищеварения","3373,4","3332,8 3558,6","3330,0",,"3013,5"
"болезни кожи и подкожной клетчатки","5260,2","4951,1 4824,9","4784,8",,"4467,8"
"болезни костно-мышечной системы и",,,,,
"соединительной ткани","4347,9","4093,9 4057,0","3742,6",,"3564,8"
"болезни мочеполовой системы","4857,8","4744,7 4815,9","4309,9",,"3991,4"
"осложнения беременности, родов и",,,,,
1),,,,,
"послеродового периода","10226,7","10447,9 9369,8","9009,9",,"8655,9"
"врожденные аномалии (пороки развития),",,,,,
"деформации и хромосомные нарушения","207,9","161,2 159,3","163,2",,"154,9"
"травмы, отравления и некоторые другие",,,,,
"последствия воздействия внешних причин","10310,5","10187,7 10496,1","10738,0",,"10301,1"
