"",2012,2013,2014,2015,2016
"",,,Случаев,,
"Всего","55,9","51,4","49,7","46,5","37,3"
"из них по заболеваемости","44,9","41,6","40,3","37,5","29,4"
"в том числе:",,,,,
"органов дыхания","14,9","14,7","14,2","12,6","10,3"
"травмы (кроме производственных)","6,0","5,2","4,6","4,8","3,6"
"болезни системы кровообращения","4,3","3,8","3,7","3,4","2,5"
"болезни костно-мышечной",,,,,
"и соединительной ткани","7,4","6,6","6,7","6,2","4,6"
"болезни органов пищеварения","2,5","2,0","2,0","1,9","1,4"
"Кроме того:",,,,,
"уход за больным","10,9","9,6","9,3","8,9","7,8"
"",,,Дней,,
"Всего",698,639,734,563,447
"из них по заболеваемости",624,567,533,491,385
"в том числе:",,,,,
"органов дыхания",132,129,120,105,85
"травмы",126,113,100,101,75
"болезни системы кровообращения",71,62,59,52,38
"болезни костно-мышечной",,,,,
"и соединительной ткани",107,95,92,83,62
"болезни органов пищеварения",35,30,28,27,17
"Кроме того:",,,,,
"уход за больным",73,70,77,71,61
